stop_name,parent_station,stop_id,stop_lat,stop_lon,location_type
Menelik II Hospital,,node/7041071483,9.0385857,38.7730556,0
Menlik Hospital,,node/7041071484,9.0388201,38.7719268,0
Piassa Arada,,node/7041071579,9.0365871,38.7522029,0
Piassa Arada,,node/7041071580,9.0363947,38.7524445,0
Piassa Arada,,node/7041071592,9.0354239,38.7523326,0
Habtegiorgis Bridge,,node/7041071594,9.0352553,38.7491242,0
Kurtu Building,,node/7041071595,9.0343899,38.7438917,0
Kurtu Building,,node/7041071596,9.0341887,38.7437548,0
Pharmacy,,node/7041071597,9.0343321,38.7434135,0
Gojam Berenda,,node/7041071598,9.0343947,38.737968,0
Autobis Tera (3),,node/7041071599,9.0342308,38.7337775,0
Autobus Tera,,node/7041071600,9.03371,38.7298446,0
Darsema Grosery,,node/7041071601,9.0338533,38.7294433,0
Girum Hospital,,node/7041071604,9.04636,38.7200106,0
Woreda 7 TVET,,node/7041071605,9.0407262,38.7212396,0
Sefere Salam,,node/7041071606,9.0366318,38.7219216,0
Kolfe,,node/7041071607,9.037044,38.7173824,0
Abysinia Coffee,,node/7041071608,9.0373422,38.7164487,0
Degu Hotel,,node/7041071609,9.0338162,38.7151531,0
18 Mazoria,,node/7041071610,9.0335338,38.7130781,0
18 Mazoria,,node/7041071612,9.0335825,38.7135105,0
Luwkanda,,node/7041071614,9.0333303,38.7093322,0
Kolfe Secondary School,,node/7041071615,9.0340139,38.704541,0
Realstate,,node/7041071616,9.0327975,38.6951186,0
Police Tabiya,,node/7041071619,9.034058,38.6888917,0
Feli Doro (1),,node/7041071620,9.0342811,38.6875252,0
Feli Doro,,node/7041071622,9.0353789,38.6853297,0
Ras Mekonene Bridge (Seba Dereja),,node/7041071628,9.0389362,38.7568178,0
5 Kilo (History Museum),,node/7041071629,9.0385989,38.7625491,0
5 Kilo University,,node/7041071630,9.0408311,38.761951,0
Lion Zoo (PEPSI Kiosk),,node/7041071633,9.0427151,38.7615693,0
Yekatit 12 Hospital,,node/7041071636,9.0438891,38.7603878,0
